,0
0,what are you doing here
1,we
2,what do you want
3,really in here are you sure
4,one of their pupils not the police then
5,why were you were spying on her who are you
6,your hearing must be very acute i didnt hear anything
7,you imagined it
8,young man is it reasonable to suppose that anybody would be inside a cupboard like that hmm
9,i wonder why ive never seen that before now isnt that strange very damp and dirty
10,have to be cleaned hmm oh im afraid its none of my business i suggest you leave here
11,yours leaves a lot to be desired
12,theres nothing in there
13,afraid oh go away
14,very well
15,oh am i i dont think so young man no i dont think so
16,dont you think youre being rather highhanded young man you thought you saw a young girl enter the yard you imagine you heard her voice you believe she might be inside there its not very substantial is it
17,im not hindering you if you both want to make fools of yourselves i suggest you do what you said youd do go and find a policeman
18,insulting theres only one way in and out of this yard i shall be here when you get back i want to see your faces when you try to explain away your behaviour to a policeman
19,close the door
20,close the door susan i believe these people are known to you
21,they must have followed you that ridiculous school i knew something like this would happen if we stayed in one place too long
22,and whats wrong with it
23,perhaps
24,i dont discuss my private life with strangers
25,you dont deserve any explanations you pushed your way in here uninvited and unwelcome
26,oh dear dear dear dear this is very
27,its stopped again you know and ive tried hmm oh you wouldnt understand
28,yes yes yes yes yes yes by the way susan i managed to find a replacement for that faulty filament its an amateur job but i think itll serve
29,what is he talking about now
30,you dont understand so you find excuses illusions indeed you say you cant fit an enormous building into one of your smaller sitting rooms
31,but youve discovered television havent you
32,then by showing an enormous building on your television screen you can do what seemed impossible couldnt you
33,not quite clear is it i can see by your face that youre not certain you dont understand and i knew you wouldnt never mind now then which switch was it no no no ah yes that is it the point is not whether you understand what is going to happen to you hmm theyll tell everybody about the ship now
34,yes yes ship this doesnt roll along on wheels you know
35,quite so
36,now now dont get exasperated susan remember the red indian when he saw the first steam train his savage mind thought it an illusion too
37,am i the children of my civilisation would be insulted
38,yes my civilisation i tolerate this century but i dont enjoy it have you ever thought what its like to be wanderers in the fourth dimension have you to be exiles susan and i are cut off from our own planet without friends or protection but one day we shall get back yes one day one day
39,no
40,you still think its all an illusion
41,your arrogance is nearly as great as your ignorance
42,i cant stop you
43,and by tomorrow we shall be a public spectacle a subject for news and idle gossip
44,my dear child of course they will put yourself in their place they are bound to make some sort of a complaint to the authorities or at the very least talk to their friends if i do let them go susan you realise of course we must go too
45,theres no alternative child
46,its out of the question
47,now youre being sentimental and childish
48,very well then you must go with them ill open the door
49,let me go
50,get back to the ship child hold it   episode two  the cave of skulls
51,layer of sand rock formation good
52,oh yes undoubtedly ill be able to tell you where presently zero thats not right im afraid this yearometer is not calculating properly hm well anyway the journeys finished  what are you doing down there
53,yes look up there they dont understand and i suspect they dont want to well there you are a new world for you
