,x,y
0,23 plus 56,79
1,52 subtract 22,30
2,90 plus 13,103
3,23 add 58,81
4,78 subtract 89,-11
5,89 subtract 61,28
6,39 subtract 9,30
7,31 plus 80,111
8,73 plus 30,103
9,24 subtract 42,-18
10,14 add 49,63
11,72 add 3,75
12,95 subtract 78,17
13,87 plus 16,103
14,31 add 17,48
15,12 plus 1,13
16,91 add 7,98
17,89 subtract 28,61
18,94 subtract 85,9
19,93 plus 24,117
20,29 add 6,35
21,11 plus 11,22
22,75 minus 35,40
23,35 plus 32,67
24,15 minus 63,-48
25,11 add 88,99
26,5 subtract 87,-82
27,44 minus 35,9
28,2 subtract 71,-69
29,89 add 54,143
30,29 subtract 78,-49
31,67 subtract 8,59
32,37 plus 71,108
33,92 add 53,145
34,91 subtract 39,52
35,64 minus 9,55
36,56 subtract 43,13
37,1 minus 98,-97
38,59 subtract 34,25
39,51 subtract 61,-10
40,100 add 19,119
41,61 minus 19,42
42,1 plus 97,98
43,19 add 82,101
44,53 add 19,72
45,81 plus 89,170
46,34 plus 48,82
47,58 subtract 49,9
48,41 subtract 49,-8
49,87 subtract 60,27
50,30 minus 32,-2
51,67 add 7,74
52,8 subtract 58,-50
53,44 subtract 54,-10
54,28 minus 65,-37
55,58 plus 43,101
56,71 add 92,163
57,72 plus 62,134
58,4 subtract 44,-40
59,68 add 48,116
60,82 subtract 3,79
61,39 minus 76,-37
62,92 minus 12,80
63,51 minus 64,-13
64,31 minus 65,-34
65,49 minus 30,19
66,93 add 80,173
67,15 subtract 55,-40
68,92 subtract 58,34
69,2 subtract 2,0
70,54 add 8,62
71,9 plus 43,52
72,24 add 81,105
73,5 plus 36,41
74,64 add 63,127
75,68 minus 74,-6
76,25 add 22,47
77,100 minus 86,14
78,81 minus 23,58
79,49 plus 25,74
80,24 minus 25,-1
81,54 minus 11,43
82,83 add 28,111
83,93 add 78,171
84,61 plus 29,90
85,46 plus 47,93
86,39 minus 67,-28
87,17 add 66,83
88,37 minus 71,-34
89,36 plus 69,105
90,65 minus 75,-10
91,62 plus 25,87
92,68 subtract 39,29
93,47 add 9,56
94,19 minus 92,-73
95,91 plus 5,96
96,47 add 54,101
97,57 subtract 6,51
98,94 add 17,111
99,99 add 49,148
100,52 plus 82,134
101,50 add 79,129
102,39 add 100,139
103,47 subtract 25,22
104,3 subtract 7,-4
105,39 add 81,120
106,50 minus 98,-48
107,3 minus 17,-14
108,61 add 12,73
109,79 subtract 45,34
110,88 plus 69,157
111,17 plus 11,28
112,48 add 68,116
113,39 subtract 11,28
114,76 plus 70,146
115,45 subtract 96,-51
116,6 plus 2,8
