,0
0,excuse me
1,were looking for a young girl
2,good evening
3,one of our pupils susan foreman came into this yard
4,yes we saw her from across the street
5,i beg your pardon
6,we heard a young girls voice call out to you
7,it came from in here
8,i certainly did not imagine it
9,would it therefore be unreasonable to ask you to let us have a look inside
10,wont you help us were two of her teachers from the coal hill school we saw her come in and we havent seen her leave naturally were worried
11,not until were satisfied that susan isnt in there and frankly i dont understand your attitude
12,will you open the door
13,then what are you afraid to show us
14,i think wed better go and fetch a policeman
15,and youre coming with us
16,but of course it was susan susan susan are you in there its mister chesterton and miss wright susan
17,but why wont you help us
18,while you nip off quietly in the other direction
19,she is in there
20,barbara
21,where are we
22,yes
23,but it was just a telephone box
24,but why didnt you tell us that
25,but it was a police telephone box i walked all around it barbara you saw me
26,no just a minute i know this is absurd but i feel
27,i walked all round it
28,but i want to understand
29,its an illusion it must be
30,what are you doing here
31,no
32,yes
33,well yes but i still dont know
34,ship
35,yes
36,how can we
37,youre treating us like children
38,your civilisation
39,its true every word of its true you dont know what youve done coming in here grandfather let them go now please look if they dont understand they cant they cant hurt us at all i understand these people better than you their minds reject things they dont understand
40,he closed the doors from over there i saw him now which is it which is it which control operates the door
41,i know that free movement time and space is a scientific dream i dont expect to find solved in a junkyard
42,very well then ill have to risk it myself
43,grandfather let them go now please
44,but they wont say anything
45,no grandfather weve had all this out before
46,i want to stay but theyre both kind people why wont you trust them all youve got to do is ask them to promise to keep our secret
47,i wont go grandfather i wont leave the twentieth century id rather leave the tardis and you
48,no i mean it
49,oh no grandfather no
50,no
51,the base is steady
52,weve left 1963
53,well look at the scanner screen
54,sand and rock
55,i dont believe it
56,but youre wrong mister chesterton
57,just open the doors doctor foreman
58,yes i know but are you going to open the doors or arent you
59,you see
60,its reading normal grandfather
61,well just open the doors and prove your point
62,grandfather do you know where we are
63,just a minute you say weve gone back in time
64,so that when we go out of that door we wont be in a junkyard in london in england in the year 1963
65,but it is ridiculous time doesnt go round and round in circles you cant get on and off whenever you like in the past or the future
66,it doesnt go anywhere it just happens and then its finished
67,i cant help it i just believe them thats all
68,yes
69,thats not on the screen
70,be careful grandfather
71,but there must be some explanation
72,the creature has opened its eyes
73,i will take him to the cave of skulls and he will tell me the secret
